City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Hithadhoo,MV,81.7,overcast clouds,-0.6,73.0833,Scoop Guest House
15,Gornoye Loo,RU,82.18,clear sky,43.7129,39.6049,«ВатерЛоо» гостиница
28,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
29,Gizo,SB,80.89,light rain,-8.103,156.8419,Imagination Island
30,Mangrol,IN,81.82,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
35,Batticaloa,LK,83.55,broken clouds,7.7102,81.6924,Grand Star Guest House
52,Santa Rosa,PH,83.91,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
54,Jiwani,PK,81.79,scattered clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
57,Nara,JP,81.68,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
66,Gunjur,GM,82.47,broken clouds,13.2019,-16.7339,Kuba Lodge
77,Butaritari,KI,80.06,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
80,Bathsheba,BB,84.72,clear sky,13.2167,-59.5167,Atlantis Hotel
92,Mina,MX,83.1,scattered clouds,26.0011,-100.5299,Mina ctl
94,Qiongshan,CN,83.28,light rain,20.0058,110.3542,Sun City Restaurant
106,Jiexiu,CN,82.38,few clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
112,Ondjiva,AO,81.66,scattered clouds,-17.0667,15.7333,SOS Motel
117,Port Blair,IN,81.61,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
119,Wanning,CN,83.32,overcast clouds,18.8003,110.3967,Paradise Hotel
122,Kushima,JP,81.12,overcast clouds,31.4583,131.2333,Hanaoka
126,Puerto Del Rosario,ES,82.08,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
144,Lasa,IT,80.51,light rain,46.6166,10.7002,Pension Feldgärtenhof
153,Indramayu,ID,80.31,few clouds,-6.3264,108.32,Grand Trisula Hotel
160,Lazaro Cardenas,MX,80.71,scattered clouds,17.9583,-102.2,quinta antigua
177,Karachi,PK,84.02,haze,24.9056,67.0822,Sadaat
191,Wajir,KE,84.0,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
202,Banda Aceh,ID,81.5,overcast clouds,5.5577,95.3222,Sulthan Hotel International
